MaLo_nodes,MeLo_nodes,NeLo_nodes,TR_nodes,attachment_rules_n,constraints_n,flexible_nodes,graph_id,lbs_code,min0_nodes,nodes_total,optional_nodes
1,0,1,1,0,0,0,catalog-9992000000018,9992000000018,2,3,2
1,1,1,1,0,0,0,catalog-9992000000026,9992000000026,2,4,2
2,1,1,2,0,0,0,catalog-9992000000034,9992000000034,4,6,4
2,1,1,3,0,0,0,catalog-9992000000042,9992000000042,4,7,4
2,2,1,2,0,2,0,catalog-9992000000068,9992000000068,3,7,3
3,2,1,4,0,2,0,catalog-9992000000076,9992000000076,5,10,5
4,3,1,4,6,2,0,catalog-9992000000084,9992000000084,6,12,6
1,1,1,1,0,1,0,catalog-9992000000109,9992000000109,2,4,2
2,2,1,4,7,0,0,catalog-9992000000117,9992000000117,6,9,6
3,3,1,4,1,1,0,catalog-9992000000125,9992000000125,7,11,7
3,2,1,3,0,1,0,catalog-9992000000133,9992000000133,5,9,5
3,2,1,4,0,1,0,catalog-9992000000159,9992000000159,5,10,5
4,3,1,5,5,2,0,catalog-9992000000167,9992000000167,7,13,7
3,2,1,4,0,0,0,catalog-9992000000175,9992000000175,5,10,5
4,3,1,4,0,1,0,catalog-9992000000183,9992000000183,6,12,6
