Meldepunktbez_Gers;Serialnummer;Bglbgungsjahr;Nächst_WechsJhr;Einbaudatum;Merkmal Zählertyp;Energierichtung;Messwerterfassung;Fernschaltung der Zähleinrichtung;Tarifanzahl;ILN_Messst__betr_;LKZ
DE0071947684600000000000000001488;1ISK0072057115;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053037795;1HLY0300010080;2021;2029;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000649;1EMH0007302415;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000618;1EMH0007303227;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000306;1ISK0069849135;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000621;1ISK0072786053;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002130;1ISK0069849279;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002633;1ISK0071622008;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000759;1ISK0071621927;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002100;1ISK0072057226;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000144;1ISK0071621999;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000000922;1ISK0072057165;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000001510;1ISK0071621923;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002411;1EMH0008343021;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0003967684600000000000053041877;1EMH0011978793;2022;2030;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002476;1ISK0071624115;2018;2026;01.01.2023;;ERZ;AMR;Z07;NTZ;ILN_MSB_HAU;
DE0071947684600000000000000002374;1ISK0072786028;2019;2027;01.01.2023;;ZRZ;AMR;Z07;NTZ;ILN_MSB_HAU;
